message_id,provider,source_type,split,edge_case_tag,field_name,gold_value,predicted_value,subject,body
msg_006,baseline_rules,synthetic,dev,deadline_only,event_date,2026-03-19,2026-03-05,Year 5 History Trip Consent Form,The Year 5 history trip to the Roman Museum will take place on 19 March. Please return the signed consent form by 12 March.
msg_006,baseline_rules,synthetic,dev,deadline_only,action_required,true,false,Year 5 History Trip Consent Form,The Year 5 history trip to the Roman Museum will take place on 19 March. Please return the signed consent form by 12 March.
msg_006,baseline_rules,synthetic,dev,deadline_only,action_type,submit_form,none,Year 5 History Trip Consent Form,The Year 5 history trip to the Roman Museum will take place on 19 March. Please return the signed consent form by 12 March.
msg_006,baseline_rules,synthetic,dev,deadline_only,action_deadline,2026-03-12,,Year 5 History Trip Consent Form,The Year 5 history trip to the Roman Museum will take place on 19 March. Please return the signed consent form by 12 March.
msg_007,baseline_rules,synthetic,dev,time_range,action_deadline,2026-03-18,,Parents Evening Confirmation,Parents evening will take place on 24 March from 16:00 to 19:30. Please reply by 18 March to confirm whether you will attend.
msg_009,baseline_rules,synthetic,dev,deadline_only,event_category,payment_deadline,reminder_other,Residential Deposit Reminder,A deposit of £40 for the summer residential is due by 20 March. This payment is needed to secure your child's place.
msg_009,baseline_rules,synthetic,dev,deadline_only,event_date,2026-03-20,2040-03-06,Residential Deposit Reminder,A deposit of £40 for the summer residential is due by 20 March. This payment is needed to secure your child's place.
msg_013,baseline_rules,synthetic,test,time_range,action_deadline,2026-03-18,,Science Centre Trip Final Payment,The Science Centre trip will take place on 26 March from 08:30 to 16:00. Final payment must be made by 18 March.
msg_014,baseline_rules,synthetic,test,relative_date,end_time,,12:00,Attendance Confirmation Needed,The attendance review meeting is scheduled for tomorrow at 15:45. Please confirm by 12:00 tomorrow if you are able to attend.
msg_016,baseline_rules,synthetic,test,ambiguous_wording,calendar_event_required,true,false,Place Confirmation for Workshop,Your child's place on the creative workshop can only be secured once the contribution has been received by 22 March.
msg_016,baseline_rules,synthetic,test,ambiguous_wording,event_category,payment_deadline,none,Place Confirmation for Workshop,Your child's place on the creative workshop can only be secured once the contribution has been received by 22 March.
msg_016,baseline_rules,synthetic,test,ambiguous_wording,event_date,2026-03-22,,Place Confirmation for Workshop,Your child's place on the creative workshop can only be secured once the contribution has been received by 22 March.
msg_016,baseline_rules,synthetic,test,ambiguous_wording,action_type,pay,reply_confirm,Place Confirmation for Workshop,Your child's place on the creative workshop can only be secured once the contribution has been received by 22 March.
msg_019,baseline_rules,synthetic,test,deadline_only,calendar_event_required,true,false,Curriculum Information Evening Form,Curriculum Information Evening will be held on 25 March at 18:00. Please submit the attendance form by 17 March.
msg_019,baseline_rules,synthetic,test,deadline_only,event_category,meeting_admin,none,Curriculum Information Evening Form,Curriculum Information Evening will be held on 25 March at 18:00. Please submit the attendance form by 17 March.
msg_019,baseline_rules,synthetic,test,deadline_only,event_date,2026-03-25,,Curriculum Information Evening Form,Curriculum Information Evening will be held on 25 March at 18:00. Please submit the attendance form by 17 March.
msg_019,baseline_rules,synthetic,test,deadline_only,start_time,18:00,,Curriculum Information Evening Form,Curriculum Information Evening will be held on 25 March at 18:00. Please submit the attendance form by 17 March.
